,Movie_name,Ratings,Year,Rated_by,Director,Lead_hero,Co_star
176,On the Waterfront,8.1,1954,"151,700",Elia Kazan,Marlon Brando,Karl Malden
177,Children of Heaven,8.1,1997,"72,936",Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian
178,Harry Potter and the Deathly Hallows: Part 2,8.1,2011,"837,276",David Yates,Daniel Radcliffe,Emma Watson
179,The Third Man,8.1,1949,"168,640",Carol Reed,Orson Welles,Joseph Cotten
180,Gone Girl,8.1,2014,"942,448",David Fincher,Ben Affleck,Rosamund Pike
181,12 Years a Slave,8.1,2013,"681,326",Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams
182,Ben-Hur,8.1,1959,"233,697",William Wyler,Charlton Heston,Jack Hawkins
183,The General,8.1,1926,"89,236",Clyde Bruckman,Buster Keaton,Marion Mack
184,The Deer Hunter,8.1,1978,"331,777",Michael Cimino,Robert De Niro,Christopher Walken
185,Wild Strawberries,8.1,1957,"104,962",Ingmar Bergman,Victor Sjöström,Bibi Andersson
186,Before Sunrise,8.1,1995,"296,007",Richard Linklater,Ethan Hawke,Julie Delpy
187,In the Name of the Father,8.1,1993,"170,258",Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite
188,The Grand Budapest Hotel,8.1,2014,"774,028",Wes Anderson,Ralph Fiennes,F. Murray Abraham
189,Mr. Smith Goes to Washington,8.1,1939,"113,757",Frank Capra,James Stewart,Jean Arthur
190,Room,8.1,2015,"405,426",Lenny Abrahamson,Brie Larson,Jacob Tremblay
191,Pather Panchali,8.1,1955,"30,902",Satyajit Ray,Kanu Bannerjee,Karuna Bannerjee
192,Sherlock Jr.,8.1,1924,"47,986",Buster Keaton,Buster Keaton,Kathryn McGuire
193,Hacksaw Ridge,8.1,2016,"494,947",Mel Gibson,Andrew Garfield,Sam Worthington
194,How to Train Your Dragon,8.1,2010,"713,725",Dean DeBlois,Jay Baruchel,Gerard Butler
195,Memories of Murder,8.1,2003,"169,638",Bong Joon Ho,Kang-ho Song,Kim Sang-kyung
196,The Wages of Fear,8.1,1953,"59,652",Henri-Georges Clouzot,Yves Montand,Charles Vanel
197,Barry Lyndon,8.1,1975,"162,845",Stanley Kubrick,Ryan O'Neal,Marisa Berenson
198,The Seventh Seal,8.1,1957,"180,567",Ingmar Bergman,Max von Sydow,Gunnar Björnstrand
199,Klaus,8.1,2019,"139,700",Sergio Pablos,Jason Schwartzman,J.K. Simmons
200,The Big Lebowski,8.1,1998,"785,499",Joel Coen,Jeff Bridges,John Goodman
201,Mad Max: Fury Road,8.1,2015,"959,982",George Miller,Tom Hardy,Charlize Theron
202,Wild Tales,8.1,2014,"192,115",Damián Szifron,Darío Grandinetti,María Marull
203,"Monsters, Inc.",8.1,2001,"876,190",Pete Docter,Billy Crystal,John Goodman
204,Mary and Max,8.1,2009,"174,064",Adam Elliot,Toni Collette,Philip Seymour Hoffman
205,Jaws,8.1,1975,"577,358",Steven Spielberg,Roy Scheider,Robert Shaw
206,The Passion of Joan of Arc,8.1,1928,"53,088",Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain
207,Hotel Rwanda,8.1,2004,"349,369",Terry George,Don Cheadle,Sophie Okonedo
208,Rocky,8.1,1976,"555,644",John G. Avildsen,Sylvester Stallone,Talia Shire
209,Dead Poets Society,8.1,1989,"466,875",Peter Weir,Robin Williams,Robert Sean Leonard
210,Tokyo Story,8.1,1953,"59,823",Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama
211,Platoon,8.1,1986,"404,094",Oliver Stone,Charlie Sheen,Tom Berenger
212,Ford v Ferrari,8.1,2019,"359,613",James Mangold,Matt Damon,Christian Bale
213,The Terminator,8.1,1984,"835,798",James Cameron,Arnold Schwarzenegger,Linda Hamilton
214,Stand by Me,8.1,1986,"390,223",Rob Reiner,Wil Wheaton,River Phoenix
215,Rush,8.0,2013,"465,092",Ron Howard,Daniel Brühl,Chris Hemsworth
216,Into the Wild,8.0,2007,"608,659",Sean Penn,Emile Hirsch,Vince Vaughn
217,Logan,8.0,2017,"719,634",James Mangold,Hugh Jackman,Patrick Stewart
218,The Wizard of Oz,8.0,1939,"386,808",Victor Fleming,Judy Garland,Frank Morgan
219,Spotlight,8.0,2015,"455,878",Tom McCarthy,Mark Ruffalo,Michael Keaton
220,Network,8.0,1976,"155,953",Sidney Lumet,Faye Dunaway,William Holden
221,Groundhog Day,8.0,1993,"609,605",Harold Ramis,Bill Murray,Andie MacDowell
222,Ratatouille,8.0,2007,"692,854",Brad Bird,Brad Garrett,Lou Romano
223,The Exorcist,8.0,1973,"387,870",William Friedkin,Ellen Burstyn,Max von Sydow
224,Hachi: A Dog's Tale,8.0,2009,"275,348",Lasse Hallström,Richard Gere,Joan Allen
225,The Incredibles,8.0,2004,"701,171",Brad Bird,Craig T. Nelson,Samuel L. Jackson
226,The Best Years of Our Lives,8.0,1946,"62,439",William Wyler,Myrna Loy,Dana Andrews
227,Before Sunset,8.0,2004,"255,109",Richard Linklater,Ethan Hawke,Julie Delpy
228,Dersu Uzala,8.0,1975,"27,675",Akira Kurosawa,Maksim Munzuk,Yuriy Solomin
229,Rebecca,8.0,1940,"134,200",Alfred Hitchcock,Laurence Olivier,Joan Fontaine
230,My Father and My Son,8.0,2005,"85,120",Cagan Irmak,Eser Sariyar,Çetin Tekindor
231,The Grapes of Wrath,8.0,1940,"90,846",John Ford,Henry Fonda,Jane Darwell
232,Cool Hand Luke,8.0,1967,"173,594",Stuart Rosenberg,Paul Newman,George Kennedy
233,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003,"1,068,480",Gore Verbinski,Johnny Depp,Geoffrey Rush
234,To Be or Not to Be,8.0,1942,"35,554",Ernst Lubitsch,Carole Lombard,Jack Benny
235,The Battle of Algiers,8.0,1966,"58,620",Gillo Pontecorvo,Brahim Hadjadj,Jean Martin
236,Amores perros,8.0,2000,"236,150",Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal
237,Dune,8.0,2021,"516,557",Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson
238,The Sound of Music,8.0,1965,"223,543",Robert Wise,Julie Andrews,Christopher Plummer
239,Life of Brian,8.0,1979,"390,328",Terry Jones,Graham Chapman,John Cleese
240,Persona,8.0,1966,"114,575",Ingmar Bergman,Bibi Andersson,Liv Ullmann
241,The 400 Blows,8.0,1959,"114,698",François Truffaut,Jean-Pierre Léaud,Albert Rémy
242,It Happened One Night,8.0,1934,"101,478",Frank Capra,Clark Gable,Claudette Colbert
243,La Haine,8.0,1995,"166,478",Mathieu Kassovitz,Vincent Cassel,Hubert Koundé
244,Aladdin,8.0,1992,"397,823",Ron Clements,Scott Weinger,Robin Williams
245,Beauty and the Beast,8.0,1991,"437,730",Gary Trousdale,Paige O'Hara,Robby Benson
246,Gandhi,8.0,1982,"226,531",Richard Attenborough,Ben Kingsley,John Gielgud
247,The Help,8.0,2011,"446,624",Tate Taylor,Emma Stone,Viola Davis
248,The Handmaiden,8.0,2016,"136,180",Park Chan-wook,Kim Min-hee,Ha Jung-woo
249,Dances with Wolves,8.0,1990,"256,970",Kevin Costner,Kevin Costner,Mary McDonnell
